Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Ryan Griffin (13040711),Ryan Griffin,13040711,TE/FLEX,2700,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,3.88247920454715
WR,Taywan Taylor (13041280),Taywan Taylor,13041280,WR/FLEX,3100,TEN@CLE 09/08/2019 01:00PM ET,CLE,3.79992310509307
TE,Jesse James (13040991),Jesse James,13040991,TE/FLEX,2500,DET@ARI 09/08/2019 04:25PM ET,DET,3.79556055733658
TE,Nick Vannett (13040931),Nick Vannett,13040931,TE/FLEX,2700,CIN@SEA 09/08/2019 04:05PM ET,SEA,3.77863008508023
TE,Tyler Higbee (13040906),Tyler Higbee,13040906,TE/FLEX,2600,LAR@CAR 09/08/2019 01:00PM ET,LAR,3.71610240334327
WR,Alex Erickson (13040993),Alex Erickson,13040993,WR/FLEX,3200,CIN@SEA 09/08/2019 04:05PM ET,CIN,3.68268688194077
WR,Demarcus Robinson (13041125),Demarcus Robinson,13041125,WR/FLEX,3200,KC@JAX 09/08/2019 01:00PM ET,KC,3.65434946742864
WR,Tajae Sharpe (13041109),Tajae Sharpe,13041109,WR/FLEX,3000,TEN@CLE 09/08/2019 01:00PM ET,TEN,3.54940590461204
RB,Corey Clement (13041202),Corey Clement,13041202,RB/FLEX,3200,WAS@PHI 09/08/2019 01:00PM ET,PHI,3.54842849609652
RB,Kyle Juszczyk (13040737),Kyle Juszczyk,13040737,RB/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,SF,3.53260707541868
RB,Darwin Thompson (13041853),Darwin Thompson,13041853,RB/FLEX,3000,KC@JAX 09/08/2019 01:00PM ET,KC,3.49292766381638
TE,Irv Smith Jr. (13041815),Irv Smith Jr.,13041815,TE/FLEX,2700,ATL@MIN 09/08/2019 01:00PM ET,MIN,3.43168122650779
RB,Dare Ogunbowale (13041107),Dare Ogunbowale,13041107,RB/FLEX,3000,SF@TB 09/08/2019 04:25PM ET,TB,3.43048732338379
RB,Chase Edmonds (13041443),Chase Edmonds,13041443,RB/FLEX,3100,DET@ARI 09/08/2019 04:25PM ET,ARI,3.38612283781991
RB,Malcolm Brown (13040909),Malcolm Brown,13040909,RB/FLEX,3800,LAR@CAR 09/08/2019 01:00PM ET,LAR,3.3470547665489
TE,Rhett Ellison (13040650),Rhett Ellison,13040650,TE/FLEX,2500,NYG@DAL 09/08/2019 04:25PM ET,NYG,3.26268311635067
TE,Dawson Knox (13041712),Dawson Knox,13041712,TE/FLEX,2500,BUF@NYJ 09/08/2019 01:00PM ET,BUF,3.25308332376572
WR,Darius Slayton (13041677),Darius Slayton,13041677,WR/FLEX,3200,NYG@DAL 09/08/2019 04:25PM ET,NYG,3.23851444291609
WR,Parris Campbell (13041495),Parris Campbell,13041495,WR/FLEX,3800,IND@LAC 09/08/2019 04:05PM ET,IND,3.22063077633736
WR,Bennie Fowler III (13040760),Bennie Fowler III,13040760,WR/FLEX,3000,NYG@DAL 09/08/2019 04:25PM ET,NYG,3.19880421497373
WR,Andy Isabella (13041647),Andy Isabella,13041647,WR/FLEX,3400,DET@ARI 09/08/2019 04:25PM ET,ARI,3.19817792578497
WR,JJ Arcega-Whiteside (13041732),JJ Arcega-Whiteside,13041732,WR/FLEX,3400,WAS@PHI 09/08/2019 01:00PM ET,PHI,3.17923110352979
WR,Trent Sherfield (13041487),Trent Sherfield,13041487,WR/FLEX,3000,DET@ARI 09/08/2019 04:25PM ET,ARI,3.07062125365434
